OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
1,Wise,OH,6.25,Wood,200.75,5.15,4.75,515.00,475.00,61.88,1051.88
2,Andy,CO,0.085,,5000.00,20,4.50,515.00,475.00,61.88,1051.88
3,Ron,PA,0.75,Wood,550,5.15,4.75,55000.00,2832.50,43374.3750,101206.8750
4,Brinks,NM,0.0625,,360,20,4.50,7200,1620.00,551.250000,9371.250000
5,Brandon,HI,0.085,,150,20,4.50,3000,675.00,312.37500,3987.37500
6,Hibley Jibley,KY,0.0625,Laminate,800,75.00,3.19,5080.00,4120.00,575.000000,9775.000000
7,max,VT,0.75,Wood,125,5.15,4.75,12500.00,643.75,9857.8125,23001.5625
8,mike,NH,0.0625,Laminate,425,75.00,3.19,31875.00,1355.75,2076.92,35307.67
9,dave,MN,0.0625,Wood,200,5.15,4.75,20000.00,1030.00,1314.38,22344.38
10,MACGREGOR,AK,0.0625,Laminate,205,75.00,3.19,15375.00,653.95,1001.81,17030.76
11,BARB,VT,0.75,Wood,123,5.15,4.75,12300.00,633.45,9700.09,22633.54
12,billy,NH,0.0625,Wood,122,5.15,4.75,12200.00,628.30,801.77,13630.07
13,MARY,VT,0.75,Carpet,105,2.25,2.10,236.25,220.50,342.56,799.31
14,345,ND,0.75,Carpet,0,2.25,2.10,0.00,0.00,0.00,0.00
15,3,ND,0.75,Carpet,0,2.25,2.10,0.00,0.00,0.00,0.00
16,ANDY,MN,0.0625,Wood,200,5.15,4.75,1030.00,950.00,123.75,2103.75
17,BOB,WV,0.75,Carpet,230,2.25,2.10,517.50,483.00,750.38,1750.88
